case,avg_time,std_time,vertices_count,faces_count,k
plane_10x10_k1,0.0006680488586425781,0.00047238288088915755,100,162,1
plane_10x10_k2,0.0006671746571858724,0.00047176373437288107,100,162,2
plane_20x20_k1,0.0009993712107340496,7.867411722033552e-07,400,722,1
plane_20x20_k2,0.0018346309661865234,0.00023467397547279214,400,722,2
plane_30x30_k1,0.014319896697998047,0.0015848978653060187,900,1682,1
plane_30x30_k2,0.0262601375579834,0.000614898479134484,900,1682,2
plane_40x40_k1,0.014399528503417969,0.0008100044703690521,1600,3042,1
plane_40x40_k2,0.03122369448343913,0.0001960584012675863,1600,3042,2
plane_50x50_k1,0.01703643798828125,1.6415715062488257e-05,2500,4802,1
plane_50x50_k2,0.039980411529541016,0.0008023850383018662,2500,4802,2
plane_75x75_k1,0.028953711191813152,0.0008024115882706898,5625,10952,1
plane_75x75_k2,0.08056457837422688,0.0006001269327495939,5625,10952,2
plane_100x100_k1,0.05294338862101237,0.0011237475794469852,10000,19602,1
plane_100x100_k2,0.17322985331217447,0.0032798316653505845,10000,19602,2
