case,avg_time,std_time,vertices_count,faces_count,k
plane_10x10_k1,0.0010639031728108723,8.797491216411094e-05,100,162,1
plane_10x10_k2,0.001333793004353841,0.00047215725543921846,100,162,2
plane_20x20_k1,0.006911754608154297,0.0015063544068191345,400,722,1
plane_20x20_k2,0.006223996480305989,0.0006139473413047379,400,722,2
plane_30x30_k1,0.008567571640014648,0.0015580929165382746,900,1682,1
plane_30x30_k2,0.016101916631062824,0.0004671718756899775,900,1682,2
plane_40x40_k1,0.023244619369506836,0.00045889430852513903,1600,3042,1
plane_40x40_k2,0.06868497530619304,0.0006262253682813212,1600,3042,2
plane_50x50_k1,0.0759426752726237,0.0011977272607348601,2500,4802,1
plane_50x50_k2,0.24928434689839682,0.0025186001875123426,2500,4802,2
plane_75x75_k1,0.6859975655873617,0.03780604622298411,5625,10952,1
plane_75x75_k2,2.8203252951304116,0.10058963573323447,5625,10952,2
plane_100x100_k1,3.419771114985148,0.02065347312530834,10000,19602,1
plane_100x100_k2,13.70248794555664,0.17252897760385003,10000,19602,2
